emp_no,first_name,last_name,birth_date,from_date,to_date,title
10095,Hilari,Morton,1/3/1965,3/10/1994,1/1/9999,Senior Staff
10122,Ohad,Esposito,1/19/1965,8/6/1998,1/1/9999,Technique Leader
10291,Dipayan,Seghrouchni,1/23/1965,3/30/1987,1/1/9999,Senior Staff
10476,Kokou,Iisaka,1/1/1965,9/20/1987,1/1/9999,Senior Staff
10663,Teunis,Noriega,1/9/1965,2/12/1999,1/1/9999,Technique Leader
10762,Lech,Himler,1/19/1965,1/21/1992,1/1/9999,Senior Staff
10933,Juyoung,Seghrouchni,1/24/1965,8/2/1993,1/1/9999,Senior Engineer
12155,Keiichiro,Glinert,1/21/1965,9/16/1993,1/1/9999,Engineer
12408,Rasiah,Sudkamp,1/10/1965,4/18/1995,1/1/9999,Senior Engineer
12643,Morrie,Schurmann,1/30/1965,12/31/1998,1/1/9999,Staff
13499,Kazuhiko,Sidou,1/16/1965,9/1/1991,1/1/9999,Technique Leader
14075,Denny,Tchuente,1/3/1965,5/30/1991,1/1/9999,Assistant Engineer
14104,Sudhanshu,Demian,1/3/1965,7/23/1994,1/1/9999,Senior Staff
14127,Magdalena,Cannard,1/10/1965,4/22/1994,1/1/9999,Engineer
14158,Caolyn,Setiz,1/22/1965,2/6/1990,1/1/9999,Senior Staff
14476,Sastry,Marrevee,1/19/1965,9/25/1999,1/1/9999,Engineer
14907,Nakhoon,Luga,1/14/1965,12/18/1986,1/1/9999,Senior Staff
15050,Nikolaos,Kruskal,1/18/1965,12/17/1990,1/1/9999,Engineer
15058,Bouchung,Bugrara,1/30/1965,6/18/1990,1/1/9999,Senior Staff
15413,Arvin,Rabejac,1/17/1965,1/1/1994,1/1/9999,Engineer
16461,Remmert,Schahn,1/14/1965,9/6/1986,1/1/9999,Senior Staff
16528,Gaurav,Swick,1/21/1965,5/7/1996,1/1/9999,Assistant Engineer
17013,Morris,Garigliano,1/15/1965,5/24/1995,1/1/9999,Senior Staff
17206,Berry,DeMori,1/2/1965,12/27/1992,1/1/9999,Engineer
17369,Yaghout,Kenevan,1/31/1965,9/15/2000,1/1/9999,Engineer
17447,Zengping,Boreale,1/11/1965,12/16/1998,1/1/9999,Staff
17731,Gennady,Roison,1/16/1965,12/6/1989,1/1/9999,Assistant Engineer
17970,Filipp,Carrere,1/6/1965,1/9/1989,1/1/9999,Technique Leader
17988,Mabhin,Calkin,1/31/1965,11/30/1989,1/1/9999,Engineer
18021,Adil,Matzke,1/7/1965,5/8/1987,1/1/9999,Engineer
18424,Filipp,Rousseau,1/19/1965,6/7/1995,1/1/9999,Engineer
18583,Stafford,Honglei,1/3/1965,8/16/1998,1/1/9999,Staff
18617,Surveyors,Crouzet,1/21/1965,4/24/1989,1/1/9999,Senior Staff
18810,Taiji,Jarecki,1/9/1965,6/27/1991,1/1/9999,Engineer
19236,Elzbieta,Morris,1/24/1965,7/12/1988,1/1/9999,Engineer
19350,Satoru,Yoshizawa,1/19/1965,3/27/1994,1/1/9999,Senior Staff
19803,Ziva,Kowalchuk,1/30/1965,6/13/1987,1/1/9999,Engineer
20100,Utz,Heuter,1/18/1965,6/15/1986,1/1/9999,Senior Staff
20128,Kazunori,Peak,1/23/1965,8/13/1999,1/1/9999,Senior Staff
20129,Rafael,Skafidas,1/10/1965,3/28/1991,1/1/9999,Engineer
20248,Vidar,Demri,1/12/1965,12/31/1999,1/1/9999,Staff
20313,Candida,Benveniste,1/24/1965,1/20/1999,1/1/9999,Engineer
20500,Christoph,Trystram,1/30/1965,10/15/1993,1/1/9999,Senior Staff
