emp_no,first_name,last_name,birth_date,from_date,to_date,title
10013,Eberhardt,Terkki,1963-06-07,1985-10-20,9999-01-01,Senior Staff
10032,Jeong,Reistad,1960-08-09,1990-06-20,9999-01-01,Engineer
10037,Pradeep,Makrucki,1963-07-22,1990-12-05,9999-01-01,Engineer
10038,Huan,Lortz,1960-07-20,1989-09-20,9999-01-01,Senior Staff
10043,Yishay,Tzvieli,1960-09-19,1990-10-20,9999-01-01,Engineer
10046,Lucien,Rosenbaum,1960-07-23,1992-06-20,9999-01-01,Senior Staff
10049,Basil,Tramer,1961-04-24,1992-05-04,9999-01-01,Staff
10056,Brendon,Bernini,1961-09-01,1990-02-01,9999-01-01,Engineer
10061,Tse,Herber,1962-10-19,1989-12-02,9999-01-01,Senior Staff
10062,Anoosh,Peyn,1961-11-02,1991-08-30,9999-01-01,Engineer
10068,Charlene,Brattka,1962-11-26,1987-08-07,9999-01-01,Senior Staff
10069,Margareta,Bierman,1960-09-06,1992-06-14,9999-01-01,Technique Leader
10081,Zhongwei,Rosen,1960-12-17,1986-10-30,9999-01-01,Engineer
10086,Somnath,Foote,1962-11-19,1992-02-19,9999-01-01,Senior Staff
10089,Sudharsan,Flasterstein,1963-03-21,1989-01-10,9999-01-01,Senior Staff
10104,Xinyu,Warwick,1961-11-19,1987-04-16,9999-01-01,Senior Staff
10111,Hugo,Rosis,1963-08-29,1988-12-19,9999-01-01,Senior Engineer
10117,Kiyotoshi,Blokdijk,1961-10-24,1992-03-19,9999-01-01,Senior Engineer
10121,Guoxiang,Ramsay,1962-07-14,1989-05-03,9999-01-01,Senior Engineer
10133,Giri,Isaak,1963-12-12,1985-12-15,9999-01-01,Engineer
10143,Sakthirel,Bakhtari,1961-07-16,1988-09-30,9999-01-01,Engineer
10147,Kazuhito,Encarnacion,1964-10-13,1987-12-18,9999-01-01,Senior Staff
10165,Miyeon,Macedo,1960-06-16,1988-05-17,9999-01-01,Senior Staff
10168,Dharmaraja,Stassinopoulos,1964-09-11,1986-12-06,9999-01-01,Staff
10173,Shrikanth,Mahmud,1962-10-28,1992-03-21,9999-01-01,Staff
10181,Sibyl,Nooteboom,1963-01-22,1988-06-22,9999-01-01,Senior Engineer
10187,Tommaso,Narwekar,1961-05-26,1991-06-01,9999-01-01,Staff
10190,Arve,Fairtlough,1964-12-11,1986-06-23,9999-01-01,Engineer
10206,Alassane,Iwayama,1960-09-19,1988-04-19,9999-01-01,Technique Leader
10211,Vishu,Strehl,1964-08-05,1991-11-22,9999-01-01,Engineer
10214,Tadahiko,Ciolek,1962-04-14,1988-02-29,9999-01-01,Senior Staff
10222,Tze,Nourani,1962-09-21,1986-06-08,9999-01-01,Assistant Engineer
10242,Lunjin,Ozeri,1964-02-22,1988-01-18,9999-01-01,Engineer
10243,Wonhee,Pouyioutas,1960-12-22,1986-06-07,9999-01-01,Senior Staff
10246,Basem,Teitelbaum,1962-06-23,1991-02-01,9999-01-01,Senior Engineer
10252,Shirish,Wegerle,1961-01-30,1990-11-08,9999-01-01,Senior Engineer
10256,Irene,Radhakrishnan,1960-12-02,1985-10-12,9999-01-01,Senior Staff
10270,Bedir,Hartvigsen,1963-01-30,1991-09-26,9999-01-01,Senior Staff
10271,Sham,Eastman,1962-04-24,1986-05-23,9999-01-01,Engineer
10273,Baocai,Lieblein,1962-08-29,1985-11-06,9999-01-01,Senior Staff
10275,Marek,Luck,1961-10-22,1987-09-08,9999-01-01,Senior Engineer
10277,Isaac,Schwartzbauer,1964-08-15,1985-06-16,9999-01-01,Senior Staff
10291,Dipayan,Seghrouchni,1965-01-23,1987-03-30,9999-01-01,Senior Staff
10292,Yucel,Ghelli,1963-01-27,1989-06-05,9999-01-01,Senior Staff
10296,Petter,Lorho,1964-05-13,1989-09-16,9999-01-01,Staff
10299,Ipke,Stentiford,1960-06-21,1990-01-10,9999-01-01,Senior Staff
10300,Tadahiko,Ulupinar,1960-07-12,1991-05-17,9999-01-01,Senior Engineer
10301,Lucien,Staudhammer,1962-08-26,1988-05-23,9999-01-01,Senior Staff
10314,Christfried,Apsitis,1961-05-04,1986-01-16,9999-01-01,Senior Staff
10331,Arto,Binkley,1961-08-12,1986-10-29,9999-01-01,Senior Staff
10342,Stella,Hiroyama,1960-03-17,1987-07-25,9999-01-01,Engineer
10361,Seshu,Sidou,1961-04-22,1986-10-23,9999-01-01,Senior Staff
10381,Jiong,Parfitt,1963-03-04,1991-12-04,9999-01-01,Engineer
10383,Leucio,Aumann,1963-11-13,1991-06-19,9999-01-01,Senior Engineer
10390,Wanqing,Bratten,1960-03-07,1989-05-17,9999-01-01,Technique Leader
10431,Patricio,Bugrara,1961-05-25,1987-10-08,9999-01-01,Senior Staff
10436,Yahiko,Lammel,1963-06-17,1988-01-30,9999-01-01,Senior Staff
10438,Evgueni,Srimani,1961-12-25,1990-01-19,9999-01-01,Assistant Engineer
10448,Phule,Oxenboll,1963-12-10,1992-03-12,9999-01-01,Senior Staff
10454,Wonhee,Badr,1961-01-22,1989-04-16,9999-01-01,Senior Staff
10464,Mang,Maginnis,1962-09-04,1991-05-21,9999-01-01,Staff
10468,Yoshimitsu,Shobatake,1960-08-28,1991-05-28,9999-01-01,Staff
10471,Jouko,Yamaashi,1963-11-30,1990-11-18,9999-01-01,Senior Engineer
10474,Kenton,Garnham,1962-02-24,1987-02-21,9999-01-01,Engineer
10476,Kokou,Iisaka,1965-01-01,1987-09-20,9999-01-01,Staff
10491,Garnik,Narahari,1964-09-09,1990-01-17,9999-01-01,Staff
10495,Anyuan,Zhiwei,1961-05-24,1989-09-24,9999-01-01,Technique Leader
10501,Susuma,Larfeldt,1962-09-09,1988-09-08,9999-01-01,Engineer
10507,Kasidit,Belinskaya,1964-02-18,1990-09-30,9999-01-01,Staff
10508,Kotesh,Liedekerke,1962-06-02,1991-05-01,9999-01-01,Engineer
10511,Khoa,Marrevee,1963-06-18,1992-01-27,9999-01-01,Engineer
10516,Xiadong,Luga,1960-02-20,1985-10-19,9999-01-01,Senior Engineer
10526,Kwangho,Theuretzbacher,1963-12-31,1988-02-27,9999-01-01,Senior Engineer
10533,Mohamadou,Smailagic,1963-06-25,1990-08-17,9999-01-01,Staff
10535,Shalesh,Stroustrup,1961-05-19,1991-08-22,9999-01-01,Senior Staff
10536,Yechiam,Sambasivam,1964-10-29,1988-10-07,9999-01-01,Staff
10545,Hauke,dAstous,1963-01-12,1990-06-30,9999-01-01,Senior Engineer
10551,Jeong,Rijsenbrij,1963-10-07,1988-08-06,9999-01-01,Senior Engineer
10553,Rajmohan,Wallrath,1964-02-08,1990-07-22,9999-01-01,Engineer
10556,JoAnna,Taubman,1962-12-31,1992-04-15,9999-01-01,Senior Staff
10558,Hisao,Famili,1964-10-08,1992-04-22,9999-01-01,Senior Engineer
10569,Sreenivas,Bashian,1962-12-03,1987-03-13,9999-01-01,Senior Staff
10571,Fun,Varman,1963-12-10,1985-02-24,9999-01-01,Engineer
10572,Cordelia,Axelband,1960-10-10,1988-02-16,9999-01-01,Engineer
10584,Mana,Papastamatiou,1961-07-12,1986-02-17,9999-01-01,Senior Engineer
10587,Behnaam,Srimani,1962-03-04,1991-11-20,9999-01-01,Senior Engineer
10590,Yongqiao,Kalloufi,1963-10-01,1986-04-09,9999-01-01,Senior Staff
10594,Kiyokazu,Whitcomb,1960-10-22,1988-04-02,9999-01-01,Engineer
10595,Giri,Undy,1964-12-10,1989-11-24,9999-01-01,Senior Engineer
10597,Lucien,Schaad,1961-05-07,1990-04-01,9999-01-01,Staff
10600,Emran,Rettelbach,1963-08-17,1992-04-27,9999-01-01,Staff
10606,Toshiki,Marakhovsky,1964-03-04,1987-05-02,9999-01-01,Senior Engineer
10611,Karsten,Blokdijk,1964-05-11,1989-09-16,9999-01-01,Senior Engineer
10621,Hinrich,Siepmann,1962-02-03,1992-02-10,9999-01-01,Engineer
10648,Marlo,Ratnaker,1962-01-19,1988-02-16,9999-01-01,Senior Engineer
10654,Nahla,Castellani,1960-03-17,1990-03-25,9999-01-01,Engineer
10656,Sanjay,Litzkow,1962-06-18,1988-06-21,9999-01-01,Engineer
10664,Xumin,Peck,1962-06-02,1989-12-24,9999-01-01,Engineer
10666,Zhonghua,Reeker,1964-10-03,1989-05-20,9999-01-01,Senior Staff
10670,Shunichi,McAffer,1962-04-23,1988-03-23,9999-01-01,Staff
10686,Avishai,Azadmanesh,1963-05-25,1987-05-17,9999-01-01,Senior Engineer
10687,Leon,Kaiser,1961-07-25,1990-03-13,9999-01-01,Staff
10688,Xiaopeng,Lanphier,1964-02-28,1986-04-13,9999-01-01,Senior Staff
10699,Hatim,Deverell,1964-02-02,1985-11-17,9999-01-01,Senior Engineer
10701,Hyuncheol,Zolotykh,1961-09-30,1989-10-07,9999-01-01,Staff
10705,Hironobu,Wynblatt,1963-06-17,1990-07-18,9999-01-01,Senior Staff
10709,Jiafu,Mateescu,1961-01-06,1988-02-21,9999-01-01,Engineer
10711,Arvind,DuBourdieux,1963-06-20,1991-06-21,9999-01-01,Senior Engineer
10716,Aiman,Constantine,1963-10-08,1987-08-12,9999-01-01,Senior Engineer
10729,Percy,Lorho,1961-05-24,1986-04-20,9999-01-01,Senior Engineer
10735,Morrie,Gewali,1964-09-12,1985-10-29,9999-01-01,Senior Staff
10736,Gurbir,Hellwagner,1962-07-09,1991-09-26,9999-01-01,Senior Engineer
10738,Rosita,Oppitz,1963-10-08,1992-01-06,9999-01-01,Technique Leader
10739,Gor,Iacovou,1961-02-11,1985-03-30,9999-01-01,Engineer
10748,Yuchang,Francisci,1964-04-12,1992-04-04,9999-01-01,Staff
10762,Lech,Himler,1965-01-19,1992-01-21,9999-01-01,Senior Staff
10763,Giap,Bolsens,1962-04-15,1987-02-23,9999-01-01,Engineer
10769,Vishv,Bouloucos,1962-11-02,1991-08-30,9999-01-01,Technique Leader
10779,Mori,Yavatkar,1961-07-09,1988-01-11,9999-01-01,Senior Staff
10793,Oksana,Roisin,1960-08-27,1990-09-18,9999-01-01,Senior Engineer
10802,Masato,Setlzner,1960-10-27,1985-08-24,9999-01-01,Senior Engineer
10809,Shim,Feldhoffer,1962-01-06,1988-02-25,9999-01-01,Engineer
10832,Hidde,Bergere,1964-08-29,1986-10-11,9999-01-01,Senior Staff
10841,Pranav,Lieberherr,1961-10-14,1992-01-22,9999-01-01,Staff
